year,selling_price,km_driven,fuel,seller_type,transmission,owner,selling_price
2003,50250.0,100000,1,0,0,1,50250.0
2016,435500.0,70000,1,0,1,0,435500.0
2017,261300.00000000003,24000,0,0,0,0,261300.00000000003
2005,67000.0,120000,0,0,0,1,67000.0
2013,1005000.0000000001,35000,1,0,1,0,1005000.0000000001
2007,117250.0,78380,0,0,0,0,117250.0
2012,291449.33,110000,1,0,0,1,291449.33
2010,113900.0,90000,1,0,0,2,113900.0
2011,127300.00000000001,90000,1,0,0,2,127300.00000000001
2009,167500.0,150000,1,0,0,2,167500.0
2009,154099.33000000002,230000,1,0,0,2,154099.33000000002
2006,93800.0,70000,0,0,0,2,93800.0
2017,402000.0,80362,1,0,0,0,402000.0
2012,187600.0,110000,0,0,0,2,187600.0
2012,100500.0,60000,1,0,0,0,100500.0
2015,435500.0,50000,1,0,1,0,435500.0
2014,140700.0,40000,0,0,0,1,140700.0
2017,1943000.0,40000,1,0,1,0,1943000.0
2013,284750.0,20000,1,1,0,0,284750.0
2014,177550.0,55000,0,1,0,0,177550.0
2018,596300.0,1136,0,1,0,0,596300.0
2013,244550.00000000003,55000,0,1,0,0,244550.00000000003
2014,234500.0,43000,0,1,0,0,234500.0
2016,458950.0,60000,1,0,0,0,458950.0
2018,629800.0,2650,1,1,0,0,629800.0
2017,670000.0,40000,1,0,0,0,670000.0
2019,770500.0,15000,0,1,0,0,770500.0
2016,301500.0,115962,1,0,0,1,301500.0
2015,395300.0,65000,1,1,0,0,395300.0
2017,536000.0,40000,1,0,0,0,536000.0
2012,257950.00000000003,58000,1,1,0,0,257950.00000000003
2013,1340000.0,15000,1,0,1,0,1340000.0
2012,157450.0,54000,0,1,0,0,157450.0
2017,428800.0,56000,1,1,0,0,428800.0
2006,34840.0,120000,0,0,0,2,34840.0
2009,53600.0,90000,3,0,0,1,53600.0
2012,93800.0,70000,0,0,0,1,93800.0
2008,80400.0,90000,0,0,0,1,80400.0
2008,60299.33,213000,1,0,0,0,60299.33
2012,120600.0,120000,1,0,0,0,120600.0
2017,1005000.0000000001,20000,1,0,0,0,1005000.0000000001
2017,469000.0,10000,0,0,0,0,469000.0
2012,190950.0,80000,1,0,0,1,190950.0
2015,261300.00000000003,90000,0,0,0,0,261300.00000000003
2008,83750.0,80000,0,0,0,0,83750.0
2008,150750.0,60000,0,0,0,1,150750.0
2011,117250.0,139000,0,0,0,1,117250.0
2011,720250.0,160000,1,0,0,1,720250.0
2014,201000.0,150000,1,0,0,0,201000.0
2010,469000.0,163000,1,0,0,3,469000.0
2009,60300.0,120000,1,1,0,0,60300.0
2011,80400.0,120000,1,0,0,1,80400.0
2012,147400.0,100000,1,0,0,1,147400.0
2015,201000.0,140000,1,1,0,0,201000.0
2010,120600.0,87000,1,1,0,1,120600.0
2013,113900.0,70000,0,0,0,0,113900.0
2015,201000.0,50000,0,0,0,1,201000.0
2014,703500.0,70000,1,0,0,0,703500.0
2014,201000.0,150000,1,0,0,0,201000.0
2018,311550.0,25000,1,0,0,0,311550.0
2011,87100.0,80000,1,0,0,1,87100.0
2018,291449.33,10000,0,0,0,0,291449.33
2018,335000.0,32000,0,0,0,0,335000.0
2018,134000.0,10000,0,0,0,0,134000.0
2017,418750.0,52000,0,1,0,0,418750.0
2006,73700.0,120000,1,0,0,2,73700.0
2019,536000.0,11240,0,0,0,0,536000.0
2017,328300.0,66000,1,1,0,0,328300.0
2017,589600.0,64000,1,1,0,0,589600.0
2013,194300.0,49000,0,0,0,0,194300.0
2006,77719.33,100000,1,0,0,1,77719.33
2018,241200.0,26500,0,0,0,0,241200.0
2002,43550.0,100000,0,0,0,1,43550.0
2017,458950.0,72000,1,1,0,0,458950.0
2009,201000.0,50000,0,0,0,0,201000.0
2017,455600.0,44000,1,1,0,0,455600.0
2017,670000.0,60000,1,0,0,1,670000.0
2002,67000.0,120000,1,0,0,0,67000.0
2010,107200.0,130000,1,0,0,0,107200.0
2017,301500.0,70000,1,0,0,0,301500.0
2014,402000.0,20000,0,0,0,0,402000.0
2009,120600.0,60000,1,0,0,1,120600.0
2007,67000.0,195000,0,0,0,0,67000.0
2010,80400.0,90000,0,0,0,1,80400.0
2006,87100.0,80000,0,0,0,2,87100.0
2011,107200.0,155000,0,0,0,0,107200.0
2019,576200.0,35000,1,0,0,0,576200.0
2018,435500.0,20000,0,0,0,1,435500.0
2010,67000.0,80000,0,0,0,1,67000.0
2017,188940.0,20000,0,0,0,0,188940.0
2009,201000.0,50000,0,0,0,0,201000.0
2010,180900.0,110000,0,0,0,1,180900.0
2013,368500.0,29000,1,0,0,0,368500.0
2013,301500.0,120000,1,0,0,0,301500.0
2011,288100.0,70000,1,0,0,1,288100.0
2013,234500.0,40000,0,0,0,0,234500.0
2017,234500.0,20000,0,0,0,0,234500.0
2013,154099.33000000002,50000,0,0,0,1,154099.33000000002
2013,73700.0,50000,0,0,0,0,73700.0
2012,264650.0,49000,0,0,0,1,264650.0
2011,435500.0,70000,1,0,1,1,435500.0
2011,234500.0,90000,1,0,0,1,234500.0
2020,938000.0,25000,1,1,0,0,938000.0
2018,241200.0,4000,0,0,0,0,241200.0
2018,871000.0,10000,1,0,0,0,871000.0
2015,536000.0,15000,1,0,0,0,536000.0
2018,154099.33000000002,30000,0,0,0,0,154099.33000000002
2014,211050.0,41000,0,1,0,0,211050.0
2012,83750.0,28000,0,0,0,0,83750.0
2019,469000.0,16000,0,0,0,0,469000.0
2015,107200.0,70000,0,0,0,0,107200.0
2017,355100.0,10832,0,1,0,0,355100.0
2018,418080.0,14681,1,1,0,0,418080.0
2009,167500.0,50000,0,0,0,0,167500.0
2016,391950.0,51000,1,1,0,0,391950.0
2015,335000.0,25000,0,0,0,0,335000.0
2014,234500.0,30000,0,0,0,0,234500.0
2014,331650.0,80000,1,1,0,0,331650.0
2017,335000.0,50000,0,0,0,0,335000.0
2015,288100.0,200000,1,0,0,0,288100.0
2013,231150.0,44000,0,1,0,0,231150.0
2015,335000.0,10000,0,0,0,0,335000.0
2019,284750.0,19600,0,0,0,0,284750.0
2005,53600.0,40000,0,0,0,1,53600.0
2011,71020.0,50000,1,0,0,0,71020.0
2009,120600.0,46730,0,0,0,0,120600.0
2015,167500.0,40000,0,0,0,1,167500.0
2011,234500.0,80000,1,0,0,0,234500.0
2002,40200.0,80000,0,0,0,1,40200.0
2018,603000.0,24000,1,0,0,0,603000.0
2017,469000.0,21170,1,1,0,0,469000.0
2013,1340000.0,167223,1,1,1,0,1340000.0
2017,670000.0,40000,1,0,0,0,670000.0
2011,921250.0,60000,1,0,1,0,921250.0
2016,1206000.0,141440,1,1,0,0,1206000.0
2007,107200.0,120000,1,0,0,2,107200.0
2012,351750.0,140000,0,0,1,0,351750.0
2012,569500.0,212814,1,1,0,0,569500.0
2019,536000.0,30000,1,0,0,0,536000.0
2017,469000.0,88635,1,1,0,0,469000.0
2018,536000.0,25000,1,0,0,0,536000.0
2017,385250.0,20000,0,0,0,1,385250.0
2012,234500.0,110000,1,0,0,1,234500.0
2008,167500.0,120000,1,0,0,2,167500.0
2011,402000.0,149674,1,1,0,1,402000.0
2007,247900.00000000003,100000,1,0,0,2,247900.00000000003
2006,53600.0,120000,0,0,0,2,53600.0
2003,33500.0,120000,1,0,0,1,33500.0
2018,603000.0,25000,1,0,0,0,603000.0
2014,201000.0,35000,0,0,0,1,201000.0
2002,83750.0,40000,0,0,0,0,83750.0
2015,328300.0,60000,1,0,0,1,328300.0
2012,201000.0,50000,1,0,0,1,201000.0
2013,36850.0,25000,0,0,0,3,36850.0
2016,234500.0,25000,0,0,0,0,234500.0
2019,505850.00000000006,8000,1,0,0,0,505850.00000000006
2017,482400.0,60000,1,0,0,0,482400.0
2006,154099.33000000002,200000,1,0,0,2,154099.33000000002
2018,737000.0,20000,1,0,0,0,737000.0
2013,268000.0,100000,0,0,0,0,268000.0
2015,234500.0,70000,1,0,0,1,234500.0
2012,106530.0,68000,1,1,0,0,106530.0
2017,368500.0,38000,0,1,0,0,368500.0
2013,224450.0,80000,1,1,0,0,224450.0
2014,123950.00000000001,72000,2,1,0,0,123950.00000000001
2012,154099.33000000002,75000,2,1,0,0,154099.33000000002
2014,150750.0,43000,0,1,0,0,150750.0
2007,167500.0,120000,0,0,0,1,167500.0
2015,268000.0,100000,1,0,0,0,268000.0
2014,314900.0,163000,1,0,0,0,314900.0
2018,201000.0,25000,0,0,1,0,201000.0
2011,97150.0,25000,0,0,0,0,97150.0
2007,67000.0,90000,0,0,0,1,67000.0
2014,335000.0,70000,1,0,0,1,335000.0
2010,87100.0,98000,2,0,0,1,87100.0
2010,160800.0,81925,1,0,0,0,160800.0
2013,100500.0,80000,1,0,0,1,100500.0
2017,180900.0,40000,0,0,0,0,180900.0
2014,268000.0,90000,1,0,0,0,268000.0
2012,134000.0,46000,0,0,0,0,134000.0
2012,368500.0,80000,1,0,0,0,368500.0
2018,217750.0,35000,0,0,0,0,217750.0
2017,576200.0,82080,1,0,1,0,576200.0
2012,402000.0,200000,1,0,0,0,402000.0
2009,83750.0,70000,0,0,0,0,83750.0
2000,40200.0,40000,0,0,0,2,40200.0
2010,201000.0,120000,1,0,0,2,201000.0
2007,127300.00000000001,60000,0,0,0,2,127300.00000000001
2013,268000.0,110000,1,0,0,0,268000.0
2011,174200.0,97000,1,0,0,1,174200.0
2017,268000.0,30000,0,0,0,0,268000.0
2010,167500.0,40000,0,0,0,0,167500.0
2019,402000.0,10000,0,0,0,0,402000.0
2010,117250.0,52047,0,0,0,0,117250.0
2011,301500.0,200000,1,0,0,2,301500.0
2019,234500.0,15000,0,0,1,1,234500.0
2018,536000.0,50000,1,0,0,0,536000.0
2011,167500.0,70000,0,0,0,1,167500.0
2019,402000.0,10000,0,0,0,0,402000.0
2017,402000.0,90000,1,0,0,0,402000.0
2016,87100.0,40000,0,0,0,0,87100.0
2006,60300.0,62009,0,0,0,1,60300.0
2017,398650.0,33100,0,0,0,1,398650.0
2014,127300.00000000001,40000,0,0,0,1,127300.00000000001
1999,33500.0,120000,0,0,0,1,33500.0
2007,63650.00000000001,80000,0,0,0,0,63650.00000000001
2016,670000.0,70000,1,0,0,0,670000.0
2006,147400.0,220000,0,0,0,1,147400.0
2010,268000.0,50000,1,0,0,0,268000.0
2015,211050.0,45000,0,0,0,1,211050.0
2014,670000.0,110000,1,0,0,0,670000.0
2014,335000.0,49000,1,0,0,0,335000.0
2018,1072000.0,35000,1,0,1,0,1072000.0
2017,335000.0,160000,1,0,0,0,335000.0
2007,46900.0,180000,0,0,0,2,46900.0
2007,70350.0,60000,0,0,0,1,70350.0
2008,268000.0,110000,1,0,0,2,268000.0
2004,53600.0,60000,0,0,0,2,53600.0
2016,201000.0,30000,0,0,0,0,201000.0
2017,274699.33,40000,1,0,0,0,274699.33
2009,167500.0,70000,0,0,0,0,167500.0
2010,167500.0,120000,1,0,0,1,167500.0
2012,144050.0,80000,1,0,0,2,144050.0
2015,938000.0,120000,1,0,0,0,938000.0
2018,318250.0,20000,0,0,0,0,318250.0
2018,318250.0,22000,0,0,0,0,318250.0
2008,50250.0,35000,0,0,0,1,50250.0
2013,134000.0,120000,1,0,0,1,134000.0
2019,385250.0,8000,0,0,0,0,385250.0
2011,100500.0,40000,1,0,0,1,100500.0
2018,569500.0,10000,1,0,0,0,569500.0
2019,234500.0,30000,0,0,0,0,234500.0
2011,368500.0,54000,1,0,0,1,368500.0
2017,221100.0,80577,0,0,0,0,221100.0
2017,700149.3300000001,25000,1,0,0,0,700149.3300000001
2011,201000.0,127500,1,0,0,1,201000.0
2015,157450.0,40903,0,1,0,0,157450.0
2011,80400.0,60000,0,0,0,2,80400.0
2004,87100.0,46000,0,0,0,0,87100.0
2004,184250.0,22288,1,1,0,1,184250.0
2011,180900.0,180000,1,0,0,1,180900.0
2015,335000.0,30000,1,0,0,1,335000.0
2015,268000.0,61690,0,1,0,0,268000.0
2015,402000.0,64484,0,1,0,0,402000.0
2012,904500.0,90000,1,0,1,1,904500.0
2013,268000.0,75976,1,1,0,1,268000.0
2011,147400.0,70000,1,0,0,1,147400.0
2012,201000.0,85962,0,1,0,1,201000.0
2018,167500.0,120000,0,0,0,0,167500.0
2015,402000.0,120000,1,0,0,0,402000.0
2012,190950.0,75000,0,0,1,1,190950.0
2009,234500.0,57035,0,1,0,0,234500.0
2011,113900.0,70000,1,0,0,2,113900.0
2015,154099.33000000002,45000,0,0,0,0,154099.33000000002
2013,335000.0,72104,1,1,0,1,335000.0
2011,50250.0,15000,0,0,0,0,50250.0
2016,402000.0,30000,0,0,0,0,402000.0
2011,147400.0,80000,1,0,0,0,147400.0
2009,100500.0,164000,1,0,0,1,100500.0
2006,43550.0,124439,0,0,0,1,43550.0
2006,80400.0,77000,0,0,0,1,80400.0
2014,160800.0,90000,1,0,0,0,160800.0
2017,261300.00000000003,30000,0,0,0,0,261300.00000000003
2012,120600.0,50000,0,0,0,0,120600.0
2012,214400.0,80000,1,0,0,1,214400.0
2018,207700.0,5000,0,0,0,0,207700.0
2018,281400.0,24000,0,0,1,0,281400.0
2019,368500.0,10000,0,0,0,0,368500.0
2016,368500.0,78000,1,0,0,2,368500.0
2018,509200.00000000006,50000,1,0,0,0,509200.00000000006
2001,28810.0,100000,0,0,0,1,28810.0
2018,167500.0,20000,0,0,0,0,167500.0
2019,335000.0,1250,0,0,0,0,335000.0
2015,254600.00000000003,17152,0,0,0,0,254600.00000000003
2019,1239500.0,5000,1,0,1,0,1239500.0
2012,234500.0,77000,1,0,0,0,234500.0
2008,130650.00000000001,90000,1,0,0,1,130650.00000000001
2011,150750.0,80000,0,0,0,1,150750.0
2015,753750.0,65000,1,0,0,0,753750.0
2011,89110.0,80000,1,0,0,0,89110.0
2013,134000.0,24005,0,0,0,0,134000.0
2018,629800.0,20000,1,0,0,0,629800.0
2014,268000.0,120000,1,0,0,0,268000.0
2009,80400.0,120000,0,0,0,1,80400.0
2015,418750.0,80000,1,0,0,0,418750.0
2005,73700.0,80000,0,0,0,0,73700.0
2012,328300.0,100000,1,0,0,0,328300.0
2009,93800.0,120000,0,0,0,1,93800.0
2011,117250.0,149000,1,0,0,1,117250.0
2005,60300.0,65000,0,0,0,1,60300.0
2009,184250.0,100000,1,0,0,1,184250.0
2011,201000.0,65000,1,0,0,1,201000.0
2018,180900.0,19000,0,0,0,1,180900.0
2010,87100.0,80000,0,0,0,1,87100.0
2015,184250.0,30000,0,0,0,0,184250.0
2012,235840.0,109000,1,0,0,0,235840.0
2012,120600.0,90000,3,0,0,0,120600.0
2012,100500.0,90000,0,0,0,0,100500.0
2011,201000.0,65000,1,0,0,1,201000.0
2010,201000.0,110000,1,0,0,1,201000.0
2007,150750.0,120000,1,0,0,0,150750.0
2014,402000.0,44000,1,0,0,0,402000.0
2015,335000.0,80000,0,0,0,0,335000.0
2018,603000.0,5000,0,0,0,0,603000.0
2016,402000.0,61000,0,0,0,0,402000.0
2011,301500.0,100000,1,0,0,1,301500.0
2009,180900.0,27633,0,0,0,0,180900.0
2010,207700.0,100000,1,0,0,2,207700.0
2012,167500.0,100000,3,0,0,0,167500.0
2019,469000.0,12586,0,1,0,0,469000.0
2018,435500.0,38083,1,1,0,0,435500.0
2012,268000.0,55328,1,1,0,0,268000.0
2012,284750.0,81632,1,1,0,0,284750.0
2016,402000.0,155201,1,1,0,0,402000.0
2013,402000.0,93283,1,1,0,0,402000.0
2009,201000.0,217871,1,1,0,0,201000.0
2012,301500.0,90165,1,1,0,0,301500.0
2014,502500.00000000006,101504,1,1,0,0,502500.00000000006
2010,217750.0,86017,1,1,0,1,217750.0
2013,603000.0,85036,1,1,0,1,603000.0
2006,120600.0,91086,0,1,0,1,120600.0
2013,234500.0,160254,1,1,0,1,234500.0
2013,402000.0,125531,1,1,0,1,402000.0
2019,603000.0,60000,1,0,0,0,603000.0
2006,234500.0,100000,1,0,0,0,234500.0
2013,187600.0,90000,1,0,0,2,187600.0
2009,150750.0,120000,1,0,0,1,150750.0
2014,348400.0,82000,1,0,0,0,348400.0
2016,341699.33,60000,1,0,0,0,341699.33
2019,372520.0,24000,0,0,0,0,372520.0
2014,150750.0,120000,1,0,0,0,150750.0
2013,217750.0,65000,1,1,0,0,217750.0
2013,244550.00000000003,65000,1,1,0,0,244550.00000000003
2015,569500.0,84000,1,1,0,0,569500.0
2013,234500.0,75000,1,1,0,0,234500.0
2007,150750.0,50000,1,1,0,0,150750.0
2011,90450.0,50000,0,0,0,0,90450.0
2007,93800.0,49000,0,1,0,0,93800.0
2016,445550.0,560000,1,1,0,0,445550.0
2015,184250.0,14365,0,1,0,0,184250.0
2017,1842500.0,41000,1,0,1,0,1842500.0
2013,324949.33,65000,1,1,0,0,324949.33
2015,378550.0,65000,1,1,0,0,378550.0
2013,284750.0,61083,1,1,0,0,284750.0
2013,619750.0,75000,1,0,0,0,619750.0
2012,378550.0,72000,1,1,0,0,378550.0
2014,351750.0,65000,1,1,0,0,351750.0
2017,1105500.0,55000,1,1,0,0,1105500.0
2015,197650.0,21000,0,1,0,1,197650.0
2012,1373500.0,66363,0,1,1,1,1373500.0
2018,988250.0000000001,11700,0,1,1,0,988250.0000000001
2017,737000.0,10000,0,0,1,0,737000.0
2014,2948000.0,100000,1,0,1,1,2948000.0
2016,448900.0,7104,0,2,0,0,448900.0
2015,502500.00000000006,45974,1,2,0,0,502500.00000000006
2015,509200.00000000006,55340,0,2,0,0,509200.00000000006
2017,569500.0,20000,0,1,1,1,569500.0
2015,261300.00000000003,61585,1,2,0,0,261300.00000000003
2016,301500.0,39415,0,2,1,1,301500.0
2014,284750.0,29654,0,2,0,0,284750.0
2016,515900.00000000006,64672,1,2,0,0,515900.00000000006
2015,770500.0,54634,1,2,1,1,770500.0
2015,519250.00000000006,66521,0,2,0,0,519250.00000000006
2018,1155750.0,23974,1,1,1,1,1155750.0
2016,1440500.0,43000,1,1,1,0,1440500.0
2013,301500.0,1000,1,1,0,1,301500.0
2018,2546000.0,10000,1,1,1,0,2546000.0
2013,1058600.0,86000,1,1,1,0,1058600.0
2019,3316500.0,30000,1,1,1,0,3316500.0
2016,358450.0,52600,1,0,0,0,358450.0
2012,150750.0,110000,0,0,0,1,150750.0
2017,368500.0,19890,0,1,1,0,368500.0
2016,448900.0,7104,0,2,0,0,448900.0
2015,418750.0,11918,0,2,0,0,418750.0
2017,348400.0,10510,0,1,1,0,348400.0
2016,160130.0,41000,0,1,0,0,160130.0
2017,1742000.0,47162,1,2,1,0,1742000.0
2015,502500.00000000006,45974,1,2,0,0,502500.00000000006
